系統ｺｰﾄﾞ,路線ｺｰﾄﾞ,方向ｺｰﾄﾞ,系統記号,起点,終点,経由等
9161,00,1,南巡回,神宮東門,神宮東門,右回り
9161,00,2,南巡回,神宮東門,神宮東門,左回り
9171,00,1,守山巡回,新守山駅,上飯田,瓢箪山経由
9171,00,2,守山巡回,上飯田,新守山駅,瓢箪山経由
9171,01,1,守山巡回,新守山駅,上飯田,守山小学校経由
9171,01,2,守山巡回,上飯田,新守山駅,守山小学校経由
9181,00,1,志段味巡回,東谷山フルーツパーク,小幡,
9181,00,2,志段味巡回,小幡,東谷山フルーツパーク,
9191,00,1,徳重巡回,白土,藤田医科大学病院,
9191,00,2,徳重巡回,藤田医科大学病院,白土,
9192,00,1,緑巡回,名鉄有松,藤田医科大学病院,
9192,00,2,緑巡回,藤田医科大学病院,名鉄有松,
9201,00,1,名東巡回,星ケ丘,猪高車庫,
9201,00,2,名東巡回,猪高車庫,星ケ丘,
9211,00,1,天白巡回,地下鉄植田,地下鉄植田,右回り
9211,00,2,天白巡回,地下鉄植田,地下鉄植田,左回り
6303,00,1,ゆとりーとライン,大曽根,志段味交通広場,
6303,00,2,ゆとりーとライン,志段味交通広場,大曽根,
6303,01,1,ゆとりーとライン,大曽根,志段味交通広場,志段味ｻｲｴﾝｽﾊﾟｰｸ経由
6303,01,2,ゆとりーとライン,志段味交通広場,大曽根,志段味ｻｲｴﾝｽﾊﾟｰｸ経由
6303,02,1,ゆとりーとライン,大曽根,小幡緑地,
6303,02,2,ゆとりーとライン,小幡緑地,大曽根,
6303,03,1,ゆとりーとライン,大曽根,高蔵寺,
6303,03,2,ゆとりーとライン,高蔵寺,大曽根,
6303,04,1,ゆとりーとライン,印場,高蔵寺,
6303,04,2,ゆとりーとライン,高蔵寺,印場,
7871,00,1,メーグル,名古屋駅,名古屋駅,
7871,01,1,メーグル,名古屋駅,名古屋駅,短縮ルート
5501,00,1,猪.名,猪高車庫,名古屋大学,
5501,00,2,猪.名,名古屋大学,猪高車庫,
5501,01,1,猪.名,猪高車庫,妙見町,
5501,01,2,猪.名,妙見町,猪高車庫,
5502,00,1,猪.星,猪高車庫,星ケ丘,打越経由
5502,00,2,猪.星,星ケ丘,猪高車庫,打越経由
5502,01,1,猪.星,猪高車庫,星ケ丘,一社経由
5502,02,1,猪.星,猪高車庫,星ケ丘,猫洞通経由
5502,02,2,猪.星,星ケ丘,猪高車庫,猫洞通経由
5505,00,1,森.緑,大森車庫,緑ケ丘住宅,
5505,00,2,森.緑,緑ケ丘住宅,大森車庫,
5505,01,1,森.緑,大森車庫,緑ケ丘住宅,小幡経由
5505,01,2,森.緑,緑ケ丘住宅,大森車庫,小幡経由
5506,00,1,森.新,大森車庫,新守山駅,小幡経由
5506,00,2,森.新,新守山駅,大森車庫,小幡経由
5506,01,1,森.新,大森車庫,新守山駅,大曽根経由
5510,00,1,鳴.ワイ,鳴尾車庫,ワイルドフラワーガーデン,
5510,00,2,鳴.ワイ,ワイルドフラワーガーデン,鳴尾車庫,
5511,00,1,鳴.有,鳴尾車庫,名鉄有松,
5511,00,2,鳴.有,名鉄有松,鳴尾車庫,
5513,00,1,稲.本,稲西車庫,本陣,
5513,00,2,稲.本,本陣,稲西車庫,
5515,00,1,森.郷,大森車庫,本郷,
5515,00,2,森.郷,本郷,大森車庫,
5516,00,1,中.畑,地下鉄高畑,中川車庫前,
5516,00,2,中.畑,中川車庫前,地下鉄高畑,
5518,00,1,地鳴.瑞,地下鉄鳴子北,瑞穂運動場東,
5518,00,2,地鳴.瑞,瑞穂運動場東,地下鉄鳴子北,
5521,00,1,緑.大清,緑車庫,大清水,
5521,00,2,緑.大清,大清水,緑車庫,
5522,00,2,中.地高,中川車庫前,地下鉄高畑,
5523,00,1,緑.地原,緑車庫,地下鉄原,
5524,00,1,中.港,中川車庫前,港区役所,
5524,00,2,中.港,港区役所,中川車庫前,
5525,00,1,印.高,印場,高蔵寺,
5525,00,2,印.高,高蔵寺,印場,
5526,00,1,御.金,御器所通,金山,
5526,00,2,御.金,金山,御器所通,
5527,00,1,森.藤,大森車庫,藤が丘,
5527,00,2,森.藤,藤が丘,大森車庫,
5528,00,1,上.西,上飯田,西部医療センター,
5529,00,1,南.港,南陽中学校,港区役所,
