停留所名称,停留所かな,停留所+乗降場所ｺｰﾄﾞ,停留所ｺｰﾄﾞ,乗降場所ｺｰﾄﾞ,乗降場所補足情報,緯度,経度
相川一丁目,あいかわいっちょうめ,01000301,01000,301,1番,35.103004,136.969528
相川一丁目,あいかわいっちょうめ,01000701,01000,701,2番,35.102835,136.969047
相生山住宅,あいおいやまじゅうたく,01005101,01005,101,2番,35.104661,136.974332
相生山住宅,あいおいやまじゅうたく,01005501,01005,501,1番,35.103314,136.974215
相生山住宅,あいおいやまじゅうたく,01005901,01005,901,降車,35.103543,136.974450
相生山住宅南,あいおいやまじゅうたくみなみ,01006301,01006,301,1番,35.102706,136.972615
相生山住宅南,あいおいやまじゅうたくみなみ,01006701,01006,701,2番,35.102548,136.973149
相川二丁目,あいかわにちょうめ,01007101,01007,101,2番,35.101314,136.974129
相川二丁目,あいかわにちょうめ,01007501,01007,501,1番,35.101709,136.974210
相川三丁目,あいかわさんちょうめ,01008301,01008,301,1番,35.098504,136.978008
相川三丁目,あいかわさんちょうめ,01008701,01008,701,2番,35.098513,136.978279
愛知県図書館,あいちけんとしょかん,01013301,01013,301,1番,35.177581,136.894679
愛知県図書館,あいちけんとしょかん,01013701,01013,701,2番,35.177345,136.894601
青峰通,あおみねどおり,01015301,01015,301,1番,35.111218,136.927410
青峰通,あおみねどおり,01015701,01015,701,2番,35.111125,136.925776
青柳町,あおやぎちょう,01020301,01020,301,1番,35.158478,136.938949
青柳町,あおやぎちょう,01020701,01020,701,2番,35.158396,136.938777
赤坂町,あかさかちょう,01025101,01025,101,2番,35.182035,136.962127
赤坂町,あかさかちょう,01025501,01025,501,1番,35.181248,136.962707
赤塚,あかつか,01030101,01030,101,4番,35.184251,136.924130
赤塚,あかつか,01030301,01030,301,1番,35.186233,136.925147
赤塚,あかつか,01030501,01030,501,3番,35.185285,136.925675
赤塚,あかつか,01030502,01030,502,2番,35.182940,136.923677
赤塚白壁,あかつかしらかべ,01032301,01032,301,1番,35.183734,136.923175
赤坪町,あかつぼちょう,01035101,01035,101,2番,35.095184,136.940960
赤坪町,あかつぼちょう,01035301,01035,301,1番,35.094412,136.941336
赤松,あかまつ,01040301,01040,301,1番,35.100537,137.016241
赤松,あかまつ,01040701,01040,701,2番,35.100307,137.015957
曙町一丁目,あけぼのちょういっちょうめ,01055301,01055,301,1番,35.155700,136.926606
曙町一丁目,あけぼのちょういっちょうめ,01055701,01055,701,2番,35.155572,136.926372
曙町二丁目,あけぼのちょうにちょうめ,01060300,01060,300,2番,35.155620,136.930467
曙町二丁目,あけぼのちょうにちょうめ,01060301,01060,301,1番,35.155440,136.931482
曙町二丁目,あけぼのちょうにちょうめ,01060701,01060,701,3番,35.155526,136.930562
旭桜ケ丘,あさひさくらがおか,01065101,01065,101,2番,35.216810,137.011565
旭桜ケ丘,あさひさくらがおか,01065501,01065,501,1番,35.215556,137.012098
旭労災病院,あさひろうさいびょういん,01070901,01070,901,1番,35.223577,137.016307
味鋺住宅,あじまじゅうたく,01080301,01080,301,1番,35.222389,136.916810
味鋺住宅,あじまじゅうたく,01080701,01080,701,2番,35.222277,136.916612
味鋺小学校北,あじましょうがっこうきた,01085101,01085,101,3番,35.223315,136.925506
味鋺小学校北,あじましょうがっこうきた,01085501,01085,501,2番,35.222347,136.926056
味鋺小学校北,あじましょうがっこうきた,01085701,01085,701,1番,35.222558,136.925357
東橋,あずまばし,01095101,01095,101,2番,35.091446,136.898335
東橋,あずまばし,01095501,01095,501,1番,35.091494,136.898587
愛宕西,あたごにし,01098101,01098,101,2番,35.058375,136.964516
愛宕西,あたごにし,01098501,01098,501,1番,35.058429,136.964666
熱田駅,あつたえき,01100101,01100,101,2番,35.129995,136.908954
熱田駅,あつたえき,01100501,01100,501,1番,35.130410,136.909076
熱田駅西,あつたえきにし,01101301,01101,301,1番,35.128960,136.908488
熱田駅西,あつたえきにし,01101701,01101,701,2番,35.128701,136.908289
熱田区役所,あつたくやくしょ,01103100,01103,100,降車,35.128172,136.909754
熱田区役所,あつたくやくしょ,01103101,01103,101,2番,35.128332,136.909665
熱田区役所,あつたくやくしょ,01103501,01103,501,1番,35.128645,136.909715
熱田区役所,あつたくやくしょ,01103502,01103,502,3番,35.128162,136.909980
熱田生涯学習センター,あつたしょうがいがくしゅうせんたー,01104101,01104,101,2番,35.125600,136.899703
熱田生涯学習センター,あつたしょうがいがくしゅうせんたー,01104501,01104,501,1番,35.126124,136.899542
熱田伝馬町,あつたてんまちょう,01105100,01105,100,7番,35.119527,136.909228
熱田伝馬町,あつたてんまちょう,01105101,01105,101,6番,35.121614,136.910849
熱田伝馬町,あつたてんまちょう,01105102,01105,102,5番,35.122062,136.911025
熱田伝馬町,あつたてんまちょう,01105501,01105,501,4番,35.120171,136.910125
熱田伝馬町,あつたてんまちょう,01105502,01105,502,3番,35.119859,136.909819
熱田伝馬町,あつたてんまちょう,01105801,01105,801,2番,35.120843,136.909772
熱田西町,あつたにしまち,01106101,01106,101,2番,35.128306,136.898579
熱田西町,あつたにしまち,01106501,01106,501,1番,35.128203,136.898708
熱田プール,あつたぷーる,01107101,01107,101,4番,35.133822,136.912593
熱田プール,あつたぷーる,01107301,01107,301,1番,35.134504,136.913298
熱田プール,あつたぷーる,01107501,01107,501,3番,35.133963,136.912685
熱田プール,あつたぷーる,01107701,01107,701,2番,35.134418,136.913544
穴ケ洞,あながほら,01110301,01110,301,1番,35.238563,137.022179
穴ケ洞,あながほら,01110701,01110,701,2番,35.238284,137.022541
油屋町一丁目,あぶらやちょういっちょうめ,01115101,01115,101,2番,35.106060,136.851154
油屋町一丁目,あぶらやちょういっちょうめ,01115501,01115,501,1番,35.106008,136.851304
油屋町二丁目,あぶらやちょうにちょうめ,01120101,01120,101,3番,35.104072,136.851013
油屋町二丁目,あぶらやちょうにちょうめ,01120501,01120,501,2番,35.103413,136.851122
油屋町二丁目,あぶらやちょうにちょうめ,01120701,01120,701,1番,35.103740,136.850646
雨池,あまいけ,01123101,01123,101,4番,35.243382,137.024137
雨池,あまいけ,01123301,01123,301,1番,35.245641,137.025019
雨池,あまいけ,01123501,01123,501,3番,35.244332,137.024331
雨池,あまいけ,01123701,01123,701,2番,35.245584,137.024677
天子田,あまこだ,01125301,01125,301,1番,35.199141,137.009752
天子田,あまこだ,01125701,01125,701,2番,35.198850,137.009027
天塚町,あまつかちょう,01130101,01130,101,2番,35.199956,136.895684
天塚町,あまつかちょう,01130501,01130,501,1番,35.200223,136.895758
阿由知通二丁目,あゆちどおりにちょうめ,01140101,01140,101,4番,35.154027,136.934279
阿由知通二丁目,あゆちどおりにちょうめ,01140301,01140,301,1番,35.154819,136.935201
阿由知通二丁目,あゆちどおりにちょうめ,01140501,01140,501,3番,35.153794,136.934481
阿由知通二丁目,あゆちどおりにちょうめ,01140701,01140,701,2番,35.154764,136.935062
荒池,あらいけ,01145401,01145,401,1番,35.115071,137.015094
荒池,あらいけ,01145801,01145,801,2番,35.114973,137.014974
荒池二丁目,あらいけにちょうめ,01146201,01146,201,1番,35.112970,137.016185
荒池二丁目,あらいけにちょうめ,01146601,01146,601,2番,35.112927,137.016288
荒池緑地,あらいけりょくち,01148301,01148,301,1番,35.110894,137.013565
荒池緑地,あらいけりょくち,01148701,01148,701,2番,35.110926,137.013974
新木町,あらきちょう,01155101,01155,101,2番,35.217133,136.863392
新木町,あらきちょう,01155501,01155,501,1番,35.216999,136.863587
荒子一丁目,あらこいっちょうめ,01160301,01160,301,1番,35.140540,136.859474
荒子一丁目,あらこいっちょうめ,01160701,01160,701,2番,35.140386,136.859502
荒子駅,あらこえき,01162301,01162,301,1番,35.140596,136.861244
荒子駅,あらこえき,01162701,01162,701,2番,35.140372,136.860967
荒子川公園北,あらこがわこうえんきた,01163301,01163,301,1番,35.105368,136.858951
荒子川公園北,あらこがわこうえんきた,01163701,01163,701,2番,35.105325,136.859142
荒子川公園駅,あらこがわこうえんえき,01164301,01164,301,1番,35.106114,136.861519
荒子川公園駅,あらこがわこうえんえき,01164701,01164,701,2番,35.106001,136.861469
荒子観音,あらこかんのん,01165301,01165,301,1番,35.136944,136.860403
荒子観音,あらこかんのん,01165701,01165,701,2番,35.136869,136.860530
荒子町,あらこちょう,01170301,01170,301,1番,35.137190,136.856668
荒子町,あらこちょう,01170701,01170,701,2番,35.137104,136.856520
荒田,あらた,01173301,01173,301,,35.241050,137.014094
荒田,あらた,01173701,01173,701,,35.240758,137.013969
新瑞橋,あらたまばし,01175000,01175,000,降車,35.117248,136.938182
新瑞橋,あらたまばし,01175001,01175,001,6番,35.117512,136.937997
新瑞橋,あらたまばし,01175002,01175,002,5番,35.117563,136.938426
新瑞橋,あらたまばし,01175003,01175,003,4番,35.117560,136.938636
新瑞橋,あらたまばし,01175101,01175,101,10番,35.118513,136.936357
新瑞橋,あらたまばし,01175501,01175,501,9番,35.117160,136.936813
新瑞橋,あらたまばし,01175701,01175,701,3番,35.117637,136.938510
新瑞橋,あらたまばし,01175702,01175,702,2番,35.117638,136.938332
新瑞橋,あらたまばし,01175703,01175,703,1番,35.117639,136.938139
荒中町,あらなかちょう,01180101,01180,101,4番,35.133360,136.853824
荒中町,あらなかちょう,01180301,01180,301,1番,35.131886,136.854533
荒中町,あらなかちょう,01180501,01180,501,3番,35.132518,136.854155
荒中町,あらなかちょう,01180701,01180,701,2番,35.131921,136.853383
荒畑,あらはた,01185301,01185,301,1番,35.149736,136.927118
荒畑,あらはた,01185701,01185,701,2番,35.149494,136.926050
荒輪井,あらわい,01190301,01190,301,2番,35.162925,136.840722
荒輪井,あらわい,01190302,01190,302,1番,35.162927,136.840843
荒輪井,あらわい,01190701,01190,701,3番,35.162845,136.840029
有松インター北,ありまついんたーきた,01192101,01192,101,2番,35.045498,136.964038
有松インター北,ありまついんたーきた,01192501,01192,501,1番,35.045120,136.964345
有松小学校,ありまつしょうがっこう,01195101,01195,101,4番,35.066927,136.969498
有松小学校,ありまつしょうがっこう,01195301,01195,301,1番,35.065441,136.969338
有松小学校,ありまつしょうがっこう,01195501,01195,501,3番,35.066748,136.969514
有松小学校,ありまつしょうがっこう,01195701,01195,701,2番,35.065341,136.969231
有松町口無池,ありまつちょうくちなしいけ,01200101,01200,101,3番,35.044122,136.967708
有松町口無池,ありまつちょうくちなしいけ,01200501,01200,501,2番,35.043017,136.967726
有松町口無池,ありまつちょうくちなしいけ,01200902,01200,902,1番,35.041674,136.967697
有松町清水山,ありまつちょうしみずやま,01202101,01202,101,2番,35.048703,136.962856
有松町清水山,ありまつちょうしみずやま,01202501,01202,501,1番,35.049178,136.962941
有松中町,ありまつなかまち,01205301,01205,301,1番,35.066487,136.967702
有松中町,ありまつなかまち,01205701,01205,701,2番,35.066815,136.966956
飯田町,いいだまち,02000101,02000,101,3番,35.179680,136.918181
飯田町,いいだまち,02000301,02000,301,1番,35.178993,136.918758
飯田町,いいだまち,02000701,02000,701,2番,35.178721,136.917583
池内町,いけうちちょう,02005301,02005,301,1番,35.139896,136.910735
池内町,いけうちちょう,02005700,02005,700,3番,35.139677,136.912731
池内町,いけうちちょう,02005701,02005,701,2番,35.139780,136.909440
池上,いけがみ,02010101,02010,101,4番,35.092138,136.963613
池上,いけがみ,02010301,02010,301,1番,35.091554,136.964605
池上,いけがみ,02010501,02010,501,3番,35.089960,136.963450
池上,いけがみ,02010701,02010,701,2番,35.091709,136.962285
池上台,いけがみだい,02012301,02012,301,1番,35.092200,136.968927
池上台,いけがみだい,02012701,02012,701,2番,35.091822,136.968010
池下,いけした,02015003,02015,003,降車,35.167674,136.945895
池下,いけした,02015004,02015,004,4番,35.167777,136.946226
池下,いけした,02015006,02015,006,3番,35.168050,136.946226
池下,いけした,02015008,02015,008,2番,35.168144,136.946039
池下,いけした,02015010,02015,010,1番,35.168104,136.945816
池下,いけした,02015301,02015,301,7番,35.167564,136.944085
池下,いけした,02015303,02015,303,5番,35.166933,136.947005
池下,いけした,02015701,02015,701,8番,35.166815,136.946265
池場一丁目,いけばいっちょうめ,02017301,02017,301,1番,35.122730,136.979701
池端,いけはた,02020101,02020,101,2番,35.236099,136.920512
池端,いけはた,02020501,02020,501,1番,35.236559,136.920557
池花町,いけはなちょう,02025101,02025,101,2番,35.231860,136.922007
池花町,いけはなちょう,02025501,02025,501,1番,35.230721,136.922638
石川橋,いしかわばし,02030101,02030,101,5番,35.138310,136.944848
石川橋,いしかわばし,02030102,02030,102,4番,35.139229,136.944799
石川橋,いしかわばし,02030301,02030,301,1番,35.138677,136.945654
石川橋,いしかわばし,02030501,02030,501,3番,35.139171,136.944991
石川橋,いしかわばし,02030701,02030,701,2番,35.138511,136.946159
一色大橋,いしきおおはし,02035301,02035,301,1番,35.124208,136.834453
一色大橋,いしきおおはし,02035701,02035,701,2番,35.123993,136.834155
石薬師,いしやくし,02040301,02040,301,1番,35.120504,136.982729
石薬師,いしやくし,02040701,02040,701,2番,35.120144,136.982066
惟信高校,いしんこうこう,02045101,02045,101,3番,35.104625,136.841112
惟信高校,いしんこうこう,02045301,02045,301,1番,35.104249,136.841957
惟信高校,いしんこうこう,02045501,02045,501,2番,35.103904,136.841521
惟信高校正門,いしんこうこうせいもん,02050101,02050,101,2番,35.107380,136.840627
惟信高校正門,いしんこうこうせいもん,02050501,02050,501,1番,35.106847,136.840787
惟信町,いしんちょう,02055101,02055,101,4番,35.104609,136.846482
惟信町,いしんちょう,02055301,02055,301,1番,35.103990,136.847300
惟信町,いしんちょう,02055501,02055,501,3番,35.103509,136.846650
惟信町,いしんちょう,02055701,02055,701,2番,35.104012,136.844969
猪高車庫,いたかしゃこ,02060101,02060,101,5番,35.177202,136.984715
猪高車庫,いたかしゃこ,02060102,02060,102,4番,35.180024,136.984534
猪高車庫,いたかしゃこ,02060301,02060,301,降車,35.179484,136.983409
猪高車庫,いたかしゃこ,02060302,02060,302,1番,35.179590,136.985494
猪高車庫,いたかしゃこ,02060501,02060,501,降車,35.179030,136.984644
猪高車庫,いたかしゃこ,02060502,02060,502,3番,35.178016,136.984745
猪高車庫,いたかしゃこ,02060701,02060,701,2番,35.179323,136.982758
猪高小学校,いたかしょうがっこう,02065301,02065,301,1番,35.176639,137.006872
猪高小学校,いたかしょうがっこう,02065701,02065,701,2番,35.176582,137.006978
猪高台,いたかだい,02070301,02070,301,1番,35.181432,137.005401
猪高台,いたかだい,02070701,02070,701,2番,35.181434,137.004348
猪高緑地,いたかりょくち,02080901,02080,901,降車,35.156283,137.031324
猪高緑地,いたかりょくち,02080902,02080,902,1番,35.156032,137.031503
猪高緑地南,いたかりょくちみなみ,02083301,02083,301,1番,35.155952,137.025361
猪高緑地南,いたかりょくちみなみ,02083701,02083,701,2番,35.156118,137.026511
一番三丁目,いちばんさんちょうめ,02085101,02085,101,5番,35.123170,136.898271
一番三丁目,いちばんさんちょうめ,02085102,02085,102,4番,35.125265,136.897216
一番三丁目,いちばんさんちょうめ,02085301,02085,301,1番,35.124088,136.896596
一番三丁目,いちばんさんちょうめ,02085501,02085,501,3番,35.125504,136.897321
一番三丁目,いちばんさんちょうめ,02085701,02085,701,2番,35.123904,136.898614
一柳中学校,いちやなぎちゅうがっこう,02090101,02090,101,4番,35.133280,136.848219
一柳中学校,いちやなぎちゅうがっこう,02090301,02090,301,1番,35.132725,136.848911
一柳中学校,いちやなぎちゅうがっこう,02090501,02090,501,3番,35.131912,136.848437
一柳中学校,いちやなぎちゅうがっこう,02090701,02090,701,2番,35.132670,136.847795
一社,いっしゃ,02095001,02095,001,4番,35.167760,136.996222
一社,いっしゃ,02095002,02095,002,3番,35.168059,136.996263
一社,いっしゃ,02095101,02095,101,5番,35.167478,136.995946
一社,いっしゃ,02095301,02095,301,1番,35.168458,136.996600
一社,いっしゃ,02095701,02095,701,2番,35.168180,136.996412
一州町,いっしゅうちょう,02105301,02105,301,1番,35.092601,136.865440
一州町,いっしゅうちょう,02105701,02105,701,2番,35.092456,136.865654
一州町南,いっしゅうちょうみなみ,02110101,02110,101,2番,35.091283,136.867477
一州町南,いっしゅうちょうみなみ,02110501,02110,501,1番,35.091255,136.867678
稲永駅,いなえいえき,02113301,02113,301,1番,35.091427,136.862296
稲永駅,いなえいえき,02113701,02113,701,2番,35.091197,136.862271
稲永小学校,いなえいしょうがっこう,02115101,02115,101,2番,35.087280,136.856884
稲永小学校,いなえいしょうがっこう,02115501,02115,501,1番,35.086546,136.856758
稲永新田,いなえいしんでん,02120101,02120,101,2番,35.082319,136.854650
稲永新田,いなえいしんでん,02120501,02120,501,1番,35.082289,136.854905
稲永町,いなえいちょう,02125101,02125,101,3番,35.090563,136.857406
稲永町,いなえいちょう,02125301,02125,301,1番,35.090303,136.859357
稲永町,いなえいちょう,02125501,02125,501,2番,35.088497,136.857839
稲永ふ頭,いなえいふとう,02135101,02135,101,2番,35.083626,136.865767
稲永ふ頭,いなえいふとう,02135501,02135,501,1番,35.083266,136.865699
稲永スポーツセンター,いなえすぽーつせんたー,02137101,02137,101,2番,35.080304,136.850273
稲永スポーツセンター,いなえすぽーつせんたー,02137301,02137,301,1番,35.079080,136.851156
稲上町,いなかみちょう,02138101,02138,101,2番,35.171873,136.845330
稲上町,いなかみちょう,02138501,02138,501,1番,35.170611,136.844872
稲西車庫,いなにししゃこ,02140301,02140,301,1番,35.162925,136.837901
稲西車庫,いなにししゃこ,02140901,02140,901,降車,35.164119,136.836976
稲葉地公園,いなばじこうえん,02143301,02143,301,1番,35.168527,136.846108
稲葉地公園,いなばじこうえん,02143701,02143,701,2番,35.168373,136.845873
稲葉地町,いなばじちょう,02145301,02145,301,1番,35.168559,136.840568
稲葉地町,いなばじちょう,02145701,02145,701,2番,35.168409,136.839794
稲葉地本通,いなばじほんどおり,02150301,02150,301,1番,35.168545,136.843191
稲葉地本通,いなばじほんどおり,02150701,02150,701,2番,35.168391,136.842491
稲生町,いのうちょう,02155301,02155,301,1番,35.209818,136.897209
稲生町,いのうちょう,02155501,02155,501,2番,35.209493,136.896003
猪子石一丁目,いのこいしいっちょうめ,02157101,02157,101,2番,35.185866,137.001354
猪子石一丁目,いのこいしいっちょうめ,02157501,02157,501,1番,35.186271,137.001595
猪子石小学校,いのこいししょうがっこう,02160101,02160,101,3番,35.188385,137.004018
猪子石小学校,いのこいししょうがっこう,02160301,02160,301,1番,35.188235,137.004728
猪子石小学校,いのこいししょうがっこう,02160701,02160,701,2番,35.187759,137.003644
猪子石荘,いのこいしそう,02162101,02162,101,2番,35.182326,136.988872
猪子石荘,いのこいしそう,02162501,02162,501,1番,35.181053,136.990015
猪子石中学,いのこいしちゅうがく,02165101,02165,101,2番,35.181404,136.984661
猪子石中学,いのこいしちゅうがく,02165501,02165,501,1番,35.181101,136.984737
猪之越町,いのこしちょう,02168501,02168,501,1番,35.185640,136.863765
猪子石団地,いのこしだんち,02170301,02170,301,1番,35.186412,136.998757
猪子石団地,いのこしだんち,02170701,02170,701,2番,35.186317,136.997347
猪子石西原,いのこしにしはら,02175301,02175,301,1番,35.190617,136.986752
猪子石西原,いのこしにしはら,02175501,02175,501,3番,35.189631,136.987444
猪子石西原,いのこしにしはら,02175701,02175,701,2番,35.190754,136.987527
猪子石原,いのこしはら,02180101,02180,101,3番,35.190975,136.991284
猪子石原,いのこしはら,02180301,02180,301,1番,35.191571,136.991966
猪子石原,いのこしはら,02180701,02180,701,2番,35.191551,136.992611
茨木町,いばらぎちょう,02185101,02185,101,2番,35.124943,136.960557
茨木町,いばらぎちょう,02185501,02185,501,1番,35.125482,136.960412
今池,いまいけ,02190102,02190,102,11番,35.167558,136.936599
今池,いまいけ,02190103,02190,103,10番,35.170518,136.937274
今池,いまいけ,02190301,02190,301,0番,35.170028,136.937704
今池,いまいけ,02190501,02190,501,9番,35.170371,136.937490
今池,いまいけ,02190503,02190,503,7番,35.167722,136.936872
今池,いまいけ,02190504,02190,504,6番,35.167482,136.936831
今池,いまいけ,021903S2,02190,3S2,2番,35.169047,136.937673
今池,いまいけ,021907N1,02190,7N1,4番,35.169929,136.936203
今池,いまいけ,021907S1,02190,7S1,5番,35.168497,136.939108
鋳物師洞,いものしほら,02195301,02195,301,1番,35.175241,136.999099
鋳物師洞,いものしほら,02195501,02195,501,3番,35.174595,136.998340
鋳物師洞,いものしほら,02195701,02195,701,2番,35.175132,136.998331
杁中,いりなか,02200300,02200,300,3番,35.144627,136.953839
杁中,いりなか,02200302,02200,302,1番,35.143978,136.954644
杁中,いりなか,02200701,02200,701,7番,35.143367,136.955095
杁中,いりなか,02200702,02200,702,5番,35.144590,136.953599
杁中,いりなか,02200801,02200,801,降車,35.144104,136.955143
杁中,いりなか,02200802,02200,802,降車,35.144670,136.954134
入場,いりば,02205101,02205,101,4番,35.114275,136.856043
入場,いりば,02205301,02205,301,1番,35.113870,136.857439
入場,いりば,02205501,02205,501,3番,35.114880,136.856409
入場,いりば,02205701,02205,701,2番,35.113706,136.857207
入場二丁目,いりばにちょうめ,02210101,02210,101,2番,35.110711,136.855516
入場二丁目,いりばにちょうめ,02210501,02210,501,1番,35.109529,136.855311
いろは橋西,いろはばしにし,02213301,02213,301,1番,35.105454,136.875118
いろは橋西,いろはばしにし,02213701,02213,701,2番,35.105369,136.875358
岩井通一丁目,いわいどおりいっちょうめ,02215301,02215,301,1番,35.159250,136.893615
岩井通一丁目,いわいどおりいっちょうめ,02215701,02215,701,2番,35.158880,136.894264
岩塚石橋,いわつかいしばし,02220301,02220,301,1番,35.155849,136.844651
岩塚石橋,いわつかいしばし,02220701,02220,701,2番,35.155819,136.844375
岩塚小学校,いわつかしょうがっこう,02225301,02225,301,1番,35.155566,136.847438
岩塚小学校,いわつかしょうがっこう,02225701,02225,701,2番,35.155564,136.846715
岩塚本通三丁目,いわつかほんどおりさんちょうめ,02229301,02229,301,1番,35.157984,136.850310
岩塚本通三丁目,いわつかほんどおりさんちょうめ,02229701,02229,701,2番,35.157747,136.849432
岩塚本通四丁目,いわつかほんどおりよんちょうめ,02230301,02230,301,1番,35.158058,136.846013
岩塚本通四丁目,いわつかほんどおりよんちょうめ,02230701,02230,701,2番,35.157835,136.845705
岩塚本通五丁目,いわつかほんどおりごちょうめ,02235301,02235,301,1番,35.158133,136.842635
岩塚本通五丁目,いわつかほんどおりごちょうめ,02235701,02235,701,2番,35.157914,136.842365
岩戸町,いわとちょう,02236301,02236,301,1番,35.110801,136.929976
岩戸町,いわとちょう,02236701,02236,701,2番,35.110810,136.929733
印場,いんば,02238101,02238,101,2番,35.209842,137.013966
印場,いんば,02238501,02238,501,1番,35.209765,137.014159
印場東,いんばひがし,02242301,02242,301,1番,35.211517,137.016250
印場東,いんばひがし,02242501,02242,501,2番,35.212058,137.016502
植田西,うえだにし,03000301,03000,301,1番,35.130905,136.983272
植田西,うえだにし,03000501,03000,501,3番,35.130758,136.981886
植田西,うえだにし,03000701,03000,701,2番,35.131022,136.982964
植園住宅,うえそのじゅうたく,03002501,03002,501,1番,35.155661,136.990011
植園町,うえそのちょう,03003501,03003,501,1番,35.157099,136.989855
植田一本松,うえだいっぽんまつ,03005101,03005,101,2番,35.140112,136.988645
植田一本松,うえだいっぽんまつ,03005501,03005,501,1番,35.140429,136.989120
植田大久手,うえだおおくて,03007301,03007,301,1番,35.144076,136.994859
植田大久手,うえだおおくて,03007701,03007,701,2番,35.143992,136.994309
植田北小学校,うえだきたしょうがっこう,03008101,03008,101,2番,35.141341,136.994500
植田北小学校,うえだきたしょうがっこう,03008501,03008,501,1番,35.141383,136.994678
植田中央公園,うえだちゅうおうこうえん,03009101,03009,101,2番,35.139021,136.992264
植田中央公園,うえだちゅうおうこうえん,03009501,03009,501,1番,35.138076,136.991521
植田山,うえだやま,03010301,03010,301,1番,35.146018,136.982814
植田山,うえだやま,03010701,03010,701,2番,35.146067,136.982423
植田本町二丁目,うえだほんまちにちょうめ,03011101,03011,101,2番,35.134322,136.991254
植田本町二丁目,うえだほんまちにちょうめ,03011501,03011,501,1番,35.134111,136.991396
植田山住宅,うえだやまじゅうたく,03015101,03015,101,2番,35.143957,136.983193
植田山住宅,うえだやまじゅうたく,03015501,03015,501,1番,35.143118,136.983661
植田山住宅北,うえだやまじゅうたくきた,03020301,03020,301,1番,35.145121,136.986505
植田山住宅北,うえだやまじゅうたくきた,03020701,03020,701,2番,35.145100,136.986824
植田寮,うえだりょう,03025101,03025,101,2番,35.146314,136.984436
植田寮,うえだりょう,03025501,03025,501,1番,35.146313,136.984522
上野公園,うえのこうえん,03030101,03030,101,2番,35.179007,136.953131
上野公園,うえのこうえん,03030501,03030,501,1番,35.177016,136.952896
浮野町,うきのちょう,03032101,03032,101,2番,35.227789,136.860569
浮野町,うきのちょう,03032501,03032,501,1番,35.226978,136.860740
牛田通,うしだどおり,03034101,03034,101,2番,35.155274,136.864675
牛田通,うしだどおり,03034501,03034,501,1番,35.155339,136.864787
牛立町,うしだてちょう,03035101,03035,101,2番,35.137500,136.882122
牛立町,うしだてちょう,03035501,03035,501,1番,35.137130,136.882273
牛巻,うしまき,03040101,03040,101,4番,35.125856,136.920022
牛巻,うしまき,03040102,03040,102,3番,35.127535,136.919754
牛巻,うしまき,03040301,03040,301,1番,35.127063,136.921771
牛巻,うしまき,03040501,03040,501,2番,35.125975,136.920431
牛牧住宅,うしまきじゅうたく,03045301,03045,301,1番,35.208239,136.971817
牛牧住宅,うしまきじゅうたく,03045701,03045,701,2番,35.208118,136.970930
歌里町,うたさとちょう,03048101,03048,101,2番,35.218617,136.893120
歌里町,うたさとちょう,03048501,03048,501,1番,35.218625,136.893281
打越,うちこし,03050101,03050,101,3番,35.167741,136.991246
打越,うちこし,03050301,03050,301,1番,35.167321,136.992422
打越,うちこし,03050701,03050,701,2番,35.166441,136.991368
内田橋,うちだばし,03055101,03055,101,2番,35.115877,136.906237
内田橋,うちだばし,03055501,03055,501,1番,35.115939,136.906499
内田橋北,うちだばしきた,03060101,03060,101,3番,35.118438,136.908177
内田橋北,うちだばしきた,03060501,03060,501,2番,35.118378,136.908379
内田橋北,うちだばしきた,03060701,03060,701,1番,35.118479,136.906507
打出町,うちでちょう,03065100,03065,100,3番,35.136122,136.842364
打出町,うちでちょう,03065101,03065,101,2番,35.137414,136.842372
打出町,うちでちょう,03065501,03065,501,1番,35.136258,136.842450
打出本町七丁目,うちでほんまちななちょうめ,03070101,03070,101,4番,35.133115,136.842340
打出本町七丁目,うちでほんまちななちょうめ,03070301,03070,301,1番,35.132797,136.842890
打出本町七丁目,うちでほんまちななちょうめ,03070501,03070,501,3番,35.131791,136.842418
打出本町七丁目,うちでほんまちななちょうめ,03070701,03070,701,2番,35.132680,136.842911
姥子山四丁目,うばこやまよんちょうめ,03081301,03081,301,1番,35.068747,136.983583
姥子山四丁目,うばこやまよんちょうめ,03081701,03081,701,2番,35.068673,136.983347
姥子山西,うばこやまにし,03083301,03083,301,1番,35.070872,136.978333
姥子山西,うばこやまにし,03083701,03083,701,2番,35.070797,136.978412
梅森坂,うめもりざか,03085101,03085,101,2番,35.143801,137.014538
梅森坂,うめもりざか,03085501,03085,501,1番,35.144082,137.014619
姥子山三丁目,うばこやまさんちょうめ,03086101,03086,101,4番,35.070135,136.980939
姥子山三丁目,うばこやまさんちょうめ,03086301,03086,301,1番,35.070908,136.980411
姥子山三丁目,うばこやまさんちょうめ,03086501,03086,501,3番,35.070090,136.981027
姥子山三丁目,うばこやまさんちょうめ,03086701,03086,701,2番,35.070817,136.980485
梅森坂口,うめもりざかぐち,03090102,03090,102,3番,35.149929,137.014659
梅森坂口,うめもりざかぐち,03090501,03090,501,2番,35.148088,137.013983
梅森坂口,うめもりざかぐち,03090701,03090,701,1番,35.149758,137.013351
梅森荘,うめもりそう,03095901,03095,901,降車,35.142919,137.019455
梅森荘,うめもりそう,03095902,03095,902,1番,35.142902,137.019717
