系統ｺｰﾄﾞ,路線ｺｰﾄﾞ,方向ｺｰﾄﾞ,並順,バス停標柱ｺｰﾄﾞ
1026,00,1,25,52235901
1026,00,2,1,52235902
1026,00,2,2,52225501
1026,00,2,3,41098501
1026,00,2,4,62195501
1026,00,2,5,01155501
1026,00,2,6,52245101
1026,00,2,7,52230501
1026,00,2,8,11142303
1026,00,2,9,12030701
1026,00,2,10,22200501
1026,00,2,11,05220501
1026,00,2,12,15125501
1026,00,2,13,11170501
1026,00,2,14,55080501
1026,00,2,15,15025501
1026,00,2,16,15030501
1026,00,2,17,64022501
1026,00,2,18,52350301
1026,00,2,19,21005301
1026,00,2,20,12020301
1026,00,2,21,05210502
1026,00,2,22,12005501
1026,00,2,23,12000501
1026,00,2,24,41190501
1026,00,2,25,41200001
1029,00,1,1,41200013
1029,00,1,2,21070702
1029,00,1,3,05000701
1029,00,1,4,32009101
1029,00,1,5,45080101
1029,00,1,6,45075101
1029,00,1,7,55135701
1029,00,1,8,55130701
1029,00,1,9,65040101
1029,00,1,10,31155101
1029,00,1,11,52155101
1029,00,1,12,22615101
1029,00,1,13,64031301
1029,00,1,14,52350301
1029,00,1,15,21005301
1029,00,1,16,12020301
1029,00,1,17,05210502
1029,00,1,18,12005501
1029,00,1,19,12000501
1029,00,1,20,41190501
1029,00,1,21,41200001
1029,00,2,1,41200013
1029,00,2,2,41190101
1029,00,2,3,12000101
1029,00,2,4,12005102
1029,00,2,5,05210701
1029,00,2,6,12020701
1029,00,2,7,21005701
1029,00,2,8,52350701
1029,00,2,9,64031701
1029,00,2,10,22615501
1029,00,2,11,02168501
1029,00,2,12,52155501
1029,00,2,13,31155501
1029,00,2,14,65040501
1029,00,2,15,55130501
1029,00,2,16,55130301
1029,00,2,17,55135501
1029,00,2,18,45075501
1029,00,2,19,45080501
1029,00,2,20,32009501
1029,00,2,21,32009302
1029,00,2,22,05000301
1029,00,2,23,21070302
1029,00,2,24,41200102
1029,00,2,25,41200001
1029,01,2,1,52350701
1029,01,2,2,64031701
1029,01,2,3,22615501
1029,01,2,4,02168501
1029,01,2,5,52155501
1029,01,2,6,31155501
1029,01,2,7,65040501
1029,01,2,8,55130501
1029,01,2,9,55130301
1029,01,2,10,55135501
1029,01,2,11,45075501
1029,01,2,12,45080501
1029,01,2,13,32009501
1029,01,2,14,32009302
1029,01,2,15,05000301
1029,01,2,16,21070302
1029,01,2,17,41200102
1029,01,2,18,41200001
1111,00,1,1,21010016
1111,00,1,2,210101E2
1111,00,1,3,210401W1
1111,00,1,4,05110101
1111,00,1,5,22300102
1111,00,1,6,64015101
1111,00,1,7,64010101
1111,00,1,8,22415101
1111,00,1,9,22515101
1111,00,1,10,22075101
1111,00,1,11,32120101
1111,00,1,12,61020701
1111,00,1,13,04020701
1111,00,1,14,41230103
1111,00,1,15,22375101
1111,00,1,16,22395101
1111,00,1,17,05215101
1111,00,1,18,03048101
1111,00,1,19,05135101
1111,00,1,20,222951W1
1111,00,1,21,33010101
1111,00,1,22,522001W1
1111,00,1,23,521851W1
1111,00,1,24,12025301
1111,00,1,25,05040301
1111,00,1,26,42155101
1111,00,2,1,42155701
1111,00,2,2,05040701
1111,00,2,3,12025701
1111,00,2,4,52215701
1111,00,2,5,521855W1
1111,00,2,6,522005W1
1111,00,2,7,33010501
1111,00,2,8,222955W1
1111,00,2,9,05135501
1111,00,2,10,03048501
1111,00,2,11,05215501
1111,00,2,12,22395501
1111,00,2,13,22375501
1111,00,2,14,41230301
1111,00,2,15,04020301
1111,00,2,16,61020301
1111,00,2,17,32120501
1111,00,2,18,22075501
1111,00,2,19,22515501
1111,00,2,20,22415501
1111,00,2,21,64010501
1111,00,2,22,64015501
1111,00,2,23,22300501
1111,00,2,24,05110501
1111,00,2,25,210405W1
1111,00,2,26,210105W3
1111,00,2,27,210103N4
1111,01,1,1,21010016
1111,01,1,2,210101E2
1111,01,1,3,210401W1
1111,01,1,4,05110101
1111,01,1,5,22300102
1111,01,1,6,64015101
1111,01,1,7,64010101
1111,01,1,8,22415101
1111,01,1,9,22515101
1111,01,1,10,22075101
1111,01,1,11,32120101
1111,01,1,12,61020701
1111,01,1,13,04020701
1111,01,1,14,41230103
1111,01,1,15,22375101
1111,01,1,16,22395101
1111,01,1,17,22400101
1111,01,1,18,62107101
1111,01,1,19,11142302
1111,01,1,20,12030101
1111,01,1,21,52230101
1111,01,1,22,52220701
1111,01,1,23,52240701
1111,01,1,24,03032501
1111,01,1,25,52235901
1111,01,2,1,52235902
1111,01,2,2,03032101
1111,01,2,3,52240301
1111,01,2,4,52220501
1111,01,2,5,52230501
1111,01,2,6,11142303
1111,01,2,7,12030501
1111,01,2,8,62107501
1111,01,2,9,22400501
1111,01,2,10,22395501
1111,01,2,11,22375501
1111,01,2,12,41230301
1111,01,2,13,04020301
1111,01,2,14,61020301
1111,01,2,15,32120501
1111,01,2,16,22075501
1111,01,2,17,22515501
1111,01,2,18,22415501
1111,01,2,19,64010501
1111,01,2,20,64015501
1111,01,2,21,22300501
1111,01,2,22,05110501
1111,01,2,23,210405W1
1111,01,2,24,210105W3
1111,01,2,25,210103N4
1111,02,2,1,32120501
1111,02,2,2,22075501
1111,02,2,3,22515501
1111,02,2,4,22415501
1111,02,2,5,64010501
1111,02,2,6,64015501
1111,02,2,7,22300501
1111,02,2,8,05110501
1111,02,2,9,210405W1
1111,02,2,10,210105W3
1111,02,2,11,210103N4
1111,05,1,1,21010016
1111,05,1,2,210101E2
1111,05,1,3,210401W1
1111,05,1,4,05110101
1111,05,1,5,22300102
1111,05,1,6,64015101
1111,05,1,7,64010101
1111,05,1,8,22415101
1111,05,1,9,22515101
1111,05,1,10,24003901
1111,05,1,11,22075101
1111,05,1,12,32120101
1111,05,1,13,61020701
1111,05,1,14,04020701
1111,05,1,15,41230103
1111,05,1,16,22375101
1111,05,1,17,22395101
1111,05,1,18,05215101
1111,05,1,19,03048101
1111,05,1,20,05135101
1111,05,1,21,222951W1
1111,05,1,22,33010101
1111,05,1,23,522001W1
1111,05,1,24,521851W1
1111,05,1,25,12025301
1111,05,1,26,05040301
1111,05,1,27,42155101
1111,05,2,1,42155701
1111,05,2,2,05040701
1111,05,2,3,12025701
1111,05,2,4,52215701
1111,05,2,5,521855W1
1111,05,2,6,522005W1
1111,05,2,7,33010501
1111,05,2,8,222955W1
1111,05,2,9,05135501
1111,05,2,10,03048501
1111,05,2,11,05215501
1111,05,2,12,22395501
1111,05,2,13,22375501
1111,05,2,14,41230301
1111,05,2,15,04020301
1111,05,2,16,61020301
1111,05,2,17,32120501
1111,05,2,18,24003902
1111,05,2,19,22075501
1111,05,2,20,22515501
1111,05,2,21,22415501
1111,05,2,22,64010501
1111,05,2,23,64015501
1111,05,2,24,22300501
1111,05,2,25,05110501
1111,05,2,26,210405W1
1111,05,2,27,210105W3
1111,05,2,28,210103N4
1111,06,1,1,21010016
1111,06,1,2,210101E2
1111,06,1,3,210401W1
1111,06,1,4,05110101
1111,06,1,5,22300102
1111,06,1,6,64015101
1111,06,1,7,64010101
1111,06,1,8,22415101
1111,06,1,9,22515101
1111,06,1,10,24003901
1111,06,1,11,22075101
1111,06,1,12,32120101
1111,06,1,13,61020701
1111,06,1,14,04020701
1111,06,1,15,41230103
1111,06,1,16,22375101
1111,06,1,17,22395101
1111,06,1,18,22400101
1111,06,1,19,62107101
1111,06,1,20,11142302
1111,06,1,21,12030101
1111,06,1,22,52230101
1111,06,1,23,52220701
1111,06,1,24,52240701
1111,06,1,25,03032501
1111,06,1,26,52235901
1111,06,2,1,52235902
1111,06,2,2,03032101
1111,06,2,3,52240301
1111,06,2,4,52220501
1111,06,2,5,52230501
1111,06,2,6,11142303
1111,06,2,7,12030501
1111,06,2,8,62107501
1111,06,2,9,22400501
1111,06,2,10,22395501
1111,06,2,11,22375501
1111,06,2,12,41230301
1111,06,2,13,04020301
1111,06,2,14,61020301
1111,06,2,15,32120501
1111,06,2,16,24003902
1111,06,2,17,22075501
1111,06,2,18,22515501
1111,06,2,19,22415501
1111,06,2,20,64010501
1111,06,2,21,64015501
1111,06,2,22,22300501
1111,06,2,23,05110501
1111,06,2,24,210405W1
1111,06,2,25,210105W3
1111,06,2,26,210103N4
1111,07,1,1,21010016
1111,07,1,2,210101E2
1111,07,1,3,210401W1
1111,07,1,4,05110101
1111,07,1,5,22300102
1111,07,1,6,64015101
1111,07,1,7,64010101
1111,07,1,8,22415101
1111,07,1,9,22515101
1111,07,1,10,24003901
1111,07,1,11,22075101
1111,07,1,12,32120101
1111,07,1,13,61020701
1111,07,1,14,04020701
1111,07,1,15,41230103
1111,07,1,16,22375101
1111,07,1,17,22395101
1111,07,1,18,05215101
1111,07,1,19,03048101
1111,07,1,20,05135101
1111,07,1,21,222951W1
1111,07,1,22,33010101
1111,07,1,23,522001W1
1111,07,1,24,521851W1
1111,07,1,25,12025301
1111,07,1,26,05040301
1111,07,1,27,42155301
1111,07,1,28,42144301
1111,07,1,29,42139102
1111,07,1,30,02020101
1111,07,1,31,42165301
1111,07,1,32,42160901
1111,07,2,1,42160701
1111,07,2,2,42165701
1111,07,2,3,02020501
1111,07,2,4,42139501
1111,07,2,5,42144701
1111,07,2,6,42155701
1111,07,2,7,05040701
1111,07,2,8,12025701
1111,07,2,9,52215701
1111,07,2,10,521855W1
1111,07,2,11,522005W1
1111,07,2,12,33010501
1111,07,2,13,222955W1
1111,07,2,14,05135501
1111,07,2,15,03048501
1111,07,2,16,05215501
1111,07,2,17,22395501
1111,07,2,18,22375501
1111,07,2,19,41230301
1111,07,2,20,04020301
1111,07,2,21,61020301
1111,07,2,22,32120501
1111,07,2,23,24003902
1111,07,2,24,22075501
1111,07,2,25,22515501
1111,07,2,26,22415501
1111,07,2,27,64010501
1111,07,2,28,64015501
1111,07,2,29,22300501
1111,07,2,30,05110501
1111,07,2,31,210405W1
1111,07,2,32,210105W3
1111,07,2,33,210103N4
1112,00,1,1,21010013
1112,00,1,2,210103S6
1112,00,1,3,35037301
1112,00,1,4,22580101
1112,00,1,5,43000101
1112,00,1,6,54005100
1112,00,1,7,54005101
1112,00,1,8,01030101
1112,00,1,9,23025101
1112,00,1,10,23015101
1112,00,1,11,23020101
1112,00,1,12,91000101
1112,00,1,13,83000101
1112,00,1,14,33015101
1112,00,1,15,33020101
1112,00,1,16,71080701
1112,00,1,17,71070701
1112,00,1,18,71075701
1112,00,2,1,71075302
1112,00,2,2,71070301
1112,00,2,3,71080301
1112,00,2,4,33020501
1112,00,2,5,33015501
1112,00,2,6,83000501
1112,00,2,7,91000501
1112,00,2,8,23020501
1112,00,2,9,23015501
1112,00,2,10,23025501
1112,00,2,11,01030301
1112,00,2,12,01030501
1112,00,2,13,01030502
1112,00,2,14,54005501
1112,00,2,15,43000500
1112,00,2,16,43000501
1112,00,2,17,225807N1
1112,00,2,18,350377N1
1112,00,2,19,210107N3
1113,00,1,1,21010016
1113,00,1,2,210107S5
1113,00,1,3,52309701
1113,00,1,4,52315101
1113,00,1,5,53025101
1113,00,1,6,21050101
1113,00,1,7,25010101
1113,00,1,8,64013701
1113,00,1,9,41215701
1113,00,1,10,52135101
1113,00,1,11,52140101
1113,00,1,12,54055101
1113,00,1,13,54010101
1113,00,1,14,01130101
1113,00,1,15,15050101
1113,00,1,16,04020101
1113,00,1,17,02155301
1113,00,1,18,22413301
1113,00,1,19,53020301
1113,00,1,20,11240301
1113,00,1,21,71075301
1113,00,2,1,71075702
1113,00,2,2,11240701
1113,00,2,3,11240702
1113,00,2,4,53020701
1113,00,2,5,22413701
1113,00,2,6,02155501
1113,00,2,7,04020501
1113,00,2,8,15050501
1113,00,2,9,01130501
1113,00,2,10,54010501
1113,00,2,11,54055501
1113,00,2,12,52140501
1113,00,2,13,52135501
1113,00,2,14,41215301
1113,00,2,15,64013501
1113,00,2,16,25010501
1113,00,2,17,21050501
1113,00,2,18,53025501
1113,00,2,19,52315500
1113,00,2,20,52309303
1113,00,2,21,210103S2
1113,01,2,1,11240702
1113,01,2,2,53020701
1113,01,2,3,22413701
1113,01,2,4,02155501
1113,01,2,5,04020501
1113,01,2,6,15050501
1113,01,2,7,01130501
1113,01,2,8,54010501
1113,01,2,9,54055501
1113,01,2,10,52140501
1113,01,2,11,52135501
1113,01,2,12,41215301
1113,01,2,13,64013501
1113,01,2,14,25010501
1113,01,2,15,21050501
1113,01,2,16,53025501
1113,01,2,17,52315500
1113,01,2,18,52309303
1113,01,2,19,210103S2
1114,00,1,1,21010014
1114,00,1,2,35037101
1114,00,1,3,31070101
1114,00,1,4,52035301
1114,00,1,5,02000301
1114,00,1,6,54005101
1114,00,1,7,01030101
1114,00,1,8,75015101
1114,00,1,9,42020101
1114,00,1,10,21003101
1114,00,1,11,54000101
1114,00,1,12,05240101
1114,00,1,13,11125002
1114,00,2,1,11125005
1114,00,2,2,05240501
1114,00,2,3,54000500
1114,00,2,4,54000501
1114,00,2,5,21003501
1114,00,2,6,42020501
1114,00,2,7,75015501
1114,00,2,8,01030501
1114,00,2,9,01030502
1114,00,2,10,54005701
1114,00,2,11,02000701
1114,00,2,12,52035501
1114,00,2,13,31070501
1114,00,2,14,350377N1
1114,00,2,15,210107N3
1115,00,1,1,21010013
1115,00,1,2,35037101
1115,00,1,3,31070302
1115,00,1,4,43000301
1115,00,1,5,23000301
1115,00,1,6,21042301
1115,00,1,7,35195101
1115,00,1,8,52175101
1115,00,1,9,35088101
1115,00,1,10,35086101
1115,00,1,11,05065101
1115,00,1,12,05060903
1115,00,1,13,71175101
1115,00,1,14,71165101
1115,00,1,15,34015101
1115,00,1,16,24010101
1115,00,1,17,24005101
1115,00,1,18,15015301
1115,00,1,19,15010301
1115,00,1,20,42110501
1115,00,1,21,22645501
1115,00,2,1,22645102
1115,00,2,2,42110702
1115,00,2,3,15010701
1115,00,2,4,15015701
1115,00,2,5,24005501
1115,00,2,6,24010501
1115,00,2,7,34015501
1115,00,2,8,71165501
1115,00,2,9,71175501
1115,00,2,10,05060500
1115,00,2,11,05060902
1115,00,2,12,05065501
1115,00,2,13,35086501
1115,00,2,14,35088501
1115,00,2,15,52175501
1115,00,2,16,35195501
1115,00,2,17,21042701
1115,00,2,18,23000701
1115,00,2,19,43000701
1115,00,2,20,31070701
1115,00,2,21,350377S1
1115,00,2,22,210107S1
1115,01,1,1,05060903
1115,01,1,2,71175101
1115,01,1,3,71165101
1115,01,1,4,34015101
1115,01,1,5,24010101
1115,01,1,6,24005101
1115,01,1,7,15015301
1115,01,1,8,15010301
1115,01,1,9,42110501
1115,01,1,10,22645501
1115,01,2,1,22645102
1115,01,2,2,42110702
1115,01,2,3,15010701
1115,01,2,4,15015701
1115,01,2,5,24005501
1115,01,2,6,24010501
1115,01,2,7,34015501
1115,01,2,8,71165501
1115,01,2,9,71175501
1115,01,2,10,05060500
1115,01,2,11,05060901
1116,00,1,1,21010013
1116,00,1,2,210103S5
1116,00,1,3,35037301
1116,00,1,4,22580401
1116,00,1,5,22585301
1116,00,1,6,32055301
1116,00,1,7,15000501
1116,00,1,8,32027301
1116,00,1,9,05045301
1116,00,1,10,51095301
1116,00,1,11,61070301
1116,00,1,12,42120301
1116,00,1,13,31190301
1116,00,1,14,31190302
1116,00,1,15,62051301
1116,00,1,16,75030301
1116,00,1,17,41225501
1116,00,2,1,41225102
1116,00,2,2,75030701
1116,00,2,3,62051701
1116,00,2,4,31190700
1116,00,2,5,31190701
1116,00,2,6,42120701
1116,00,2,7,61070701
1116,00,2,8,51095701
1116,00,2,9,05045701
1116,00,2,10,32027701
1116,00,2,11,15000101
1116,00,2,12,32055701
1116,00,2,13,22585701
1116,00,2,14,225807N1
1116,00,2,15,350377N1
1116,00,2,16,210107N3
1117,00,1,1,210105E2
1117,00,1,2,210105E4
1117,00,1,3,224605E1
1117,00,1,4,711455E1
1117,00,1,5,61060301
1117,00,1,6,32090302
1117,00,1,7,32085301
1117,00,1,8,53010301
1117,00,1,9,32027302
1117,00,1,10,01020301
1117,00,1,11,71085301
1117,00,1,12,62140301
1117,00,1,13,11250201
1117,00,1,14,71215101
1117,00,1,15,61005301
1117,00,1,16,81000301
1117,00,1,17,71035301
1117,00,1,18,41225101
1117,00,2,1,41225502
1117,00,2,2,71035701
1117,00,2,3,81000701
1117,00,2,4,61005701
1117,00,2,5,71215501
1117,00,2,6,11250701
1117,00,2,7,62140701
1117,00,2,8,71085701
1117,00,2,9,01020701
1117,00,2,10,32027701
1117,00,2,11,53010701
1117,00,2,12,32085701
1117,00,2,13,32090701
1117,00,2,14,61060701
1117,00,2,15,711451E1
1117,00,2,16,224601E2
1117,00,2,17,210101E1
1117,00,2,18,21010021
1118,00,1,1,210105E2
1118,00,1,2,21012502
1118,00,1,3,224605W2
1118,00,1,4,71145301
1118,00,1,5,61060301
1118,00,1,6,32090302
1118,00,1,7,33025501
1118,00,1,8,64025300
1118,00,1,9,64025301
1118,00,1,10,31200301
1118,00,1,11,01055301
1118,00,1,12,01060301
1118,00,1,13,01140301
1118,00,1,14,22025301
1118,00,1,15,11245301
1118,00,1,16,54060301
1118,00,1,17,22447101
1118,00,1,18,11250301
1118,00,1,19,71200501
1118,00,1,20,02200300
1118,00,1,21,31165301
1118,00,1,22,71060301
1118,00,1,23,62185301
1118,00,2,1,62185701
1118,00,2,2,71060701
1118,00,2,3,31165701
1118,00,2,4,02200702
1118,00,2,5,71200101
1118,00,2,6,22447501
1118,00,2,7,54060701
1118,00,2,8,11245701
1118,00,2,9,22025701
1118,00,2,10,01140701
1118,00,2,11,01060701
1118,00,2,12,01055701
1118,00,2,13,31200101
1118,00,2,14,64025701
1118,00,2,15,33025701
1118,00,2,16,32090701
1118,00,2,17,61060701
1118,00,2,18,71145701
1118,00,2,19,224601W1
1118,00,2,20,21012101
1118,00,2,21,21010021
1120,00,1,1,210105E2
1120,00,1,2,210105E4
1120,00,1,3,224605E1
1120,00,1,4,711455E1
1120,00,1,5,61060501
1120,00,1,6,32138501
1120,00,1,7,33030502
1120,00,1,8,35025501
1120,00,1,9,23055301
1120,00,1,10,01185301
1120,00,1,11,15085301
1120,00,1,12,52325501
1120,00,1,13,22030501
1120,00,1,14,22035301
1120,00,1,15,41095301
1120,00,1,16,31235501
1120,00,1,17,02030501
1120,00,1,18,31210501
1120,00,1,19,22125501
1120,00,1,20,62041501
1120,00,1,21,31212501
1120,00,1,22,62009301
1120,00,2,1,62009101
1120,00,2,2,31212101
1120,00,2,3,62041101
1120,00,2,4,22125101
1120,00,2,5,31210101
1120,00,2,6,02030102
1120,00,2,7,31235101
1120,00,2,8,41095701
1120,00,2,9,22035101
1120,00,2,10,22030101
1120,00,2,11,52325701
1120,00,2,12,15085700
1120,00,2,13,15085701
1120,00,2,14,01185701
1120,00,2,15,23055701
1120,00,2,16,35025101
1120,00,2,17,33030101
1120,00,2,18,32138101
1120,00,2,19,61060701
1120,00,2,20,711451E1
1120,00,2,21,224601E2
1120,00,2,22,210101E1
1120,00,2,23,21010021
1120,01,1,1,210105E2
1120,01,1,2,210105E4
1120,01,1,3,224605E1
1120,01,1,4,711455E1
1120,01,1,5,61060501
1120,01,1,6,32138501
1120,01,1,7,33030502
1120,01,1,8,35025501
1120,01,1,9,23055301
1120,01,1,10,01185301
1120,01,1,11,15085301
1120,01,1,12,52325501
1120,01,1,13,22030501
1120,01,1,14,22035501
1120,01,1,15,53040501
1120,01,1,16,12010501
1120,01,1,17,22015501
1120,01,1,18,05235501
1120,01,1,19,22020501
1120,01,1,20,62025501
1120,01,1,21,62028501
1120,01,1,22,71110701
1120,01,1,23,01175000
1120,01,2,1,01175003
1120,01,2,2,71110101
1120,01,2,3,62028101
1120,01,2,4,62025101
1120,01,2,5,22020101
1120,01,2,6,05235101
1120,01,2,7,22015101
1120,01,2,8,12010101
1120,01,2,9,53040101
1120,01,2,10,22035101
1120,01,2,11,22030101
1120,01,2,12,52325701
1120,01,2,13,15085700
1120,01,2,14,15085701
1120,01,2,15,01185701
1120,01,2,16,23055701
1120,01,2,17,35025101
1120,01,2,18,33030101
1120,01,2,19,32138101
1120,01,2,20,61060701
1120,01,2,21,711451E1
1120,01,2,22,224601E2
1120,01,2,23,210101E1
1120,01,2,24,21010021
1121,00,1,1,210105E1
1121,00,1,2,21012501
1121,00,1,3,224605W1
1121,00,1,4,711455W1
1121,00,1,5,11175501
1121,00,1,6,22280501
1121,00,1,7,52090501
1121,00,1,8,53100501
1121,00,1,9,11075013
1121,00,1,10,21090502
1121,00,1,11,31075501
1121,00,1,12,01100501
1121,00,1,13,01103502
1121,00,1,14,22560507
1121,00,1,15,01105501
1121,00,1,16,03060501
1121,00,1,17,03055501
1121,00,1,18,64003501
1121,00,1,19,32110501
1121,00,1,20,21110501
1121,00,1,21,24080501
1121,00,1,22,35070501
1121,00,1,23,24085501
1121,00,2,1,24085101
1121,00,2,2,35070101
1121,00,2,3,24080101
1121,00,2,4,21110101
1121,00,2,5,32110101
1121,00,2,6,64003101
1121,00,2,7,03055101
1121,00,2,8,03060101
1121,00,2,9,01105100
1121,00,2,10,01105102
1121,00,2,11,22560105
1121,00,2,12,01103101
1121,00,2,13,01100101
1121,00,2,14,31075101
1121,00,2,15,21090101
1121,00,2,16,11075101
1121,00,2,17,53100101
1121,00,2,18,52090102
1121,00,2,19,22280101
1121,00,2,20,11175101
1121,00,2,21,11175102
1121,00,2,22,711451W1
1121,00,2,23,711451E1
1121,00,2,24,224601E2
1121,00,2,25,210101E1
1121,00,2,26,21010021
1122,00,1,1,21010012
1122,00,1,2,210107S4
1122,00,1,3,52309701
1122,00,1,4,52315701
1122,00,1,5,52310701
1122,00,1,6,41245701
1122,00,1,7,71135502
1122,00,1,8,51030501
1122,00,1,9,11015501
1122,00,1,10,52005501
1122,00,1,11,21115501
1122,00,1,12,53110501
1122,00,1,13,05225501
1122,00,1,14,71020501
1122,00,1,15,32105501
1122,00,1,16,52160401
1122,00,1,17,42080501
1122,00,1,18,02085501
1122,00,1,19,42135701
1122,00,1,20,85015501
1122,00,1,21,85020501
1122,00,1,22,22160501
1122,00,1,23,35005501
1122,00,1,24,62093501
1122,00,2,1,62093101
1122,00,2,2,35005101
1122,00,2,3,22160101
1122,00,2,4,85020101
1122,00,2,5,85015101
1122,00,2,6,42135301
1122,00,2,7,02085102
1122,00,2,8,42080101
1122,00,2,9,52160801
1122,00,2,10,32105101
1122,00,2,11,71020101
1122,00,2,12,05225101
1122,00,2,13,53110100
1122,00,2,14,53110101
1122,00,2,15,21115101
1122,00,2,16,52005101
1122,00,2,17,11015101
1122,00,2,18,11015102
1122,00,2,19,51030101
1122,00,2,20,71135302
1122,00,2,21,41245301
1122,00,2,22,52310301
1122,00,2,23,52315301
1122,00,2,24,52309303
1122,00,2,25,210103S2
1123,00,1,1,210105E1
1123,00,1,2,21012502
1123,00,1,3,224605W2
1123,00,1,4,711455W1
1123,00,1,5,11175501
1123,00,1,6,11175701
1123,00,1,7,05050701
1123,00,1,8,42015701
1123,00,1,9,02215701
1123,00,1,10,11015701
1123,00,1,11,85010701
1123,00,1,12,03105701
1123,00,1,13,03110701
1123,00,1,14,21080701
1123,00,1,15,45055701
1123,00,1,16,61055701
1123,00,1,17,15162701
1123,00,1,18,61075701
1123,00,1,19,32015701
1123,00,1,20,51070701
1123,00,1,21,71144701
1123,00,1,22,45010501
1123,00,1,23,51020701
1123,00,1,24,03065501
1123,00,1,25,03070501
1123,00,1,26,55070501
1123,00,1,27,31090501
1123,00,1,28,52025301
1123,00,1,29,41025101
1123,00,2,1,41025701
1123,00,2,2,52025701
1123,00,2,3,31090101
1123,00,2,4,55070101
1123,00,2,5,03070101
1123,00,2,6,03065101
1123,00,2,7,51020301
1123,00,2,8,45010301
1123,00,2,9,71144301
1123,00,2,10,51070301
1123,00,2,11,32015301
1123,00,2,12,61075301
1123,00,2,13,15162301
1123,00,2,14,61055301
1123,00,2,15,45055301
1123,00,2,16,21080301
1123,00,2,17,03110301
1123,00,2,18,03105301
1123,00,2,19,85010301
1123,00,2,20,11015301
1123,00,2,21,02215301
1123,00,2,22,42015301
1123,00,2,23,05050301
1123,00,2,24,11175301
1123,00,2,25,11175102
1123,00,2,26,711451W1
1123,00,2,27,711451E1
1123,00,2,28,224601E2
1123,00,2,29,210101E1
1123,00,2,30,21010021
1123,01,1,1,210105E1
1123,01,1,2,21012502
1123,01,1,3,224605W2
1123,01,1,4,711455W1
1123,01,1,5,11175501
1123,01,1,6,11175701
1123,01,1,7,05050701
1123,01,1,8,42015701
1123,01,1,9,02215701
1123,01,1,10,11015701
1123,01,1,11,85010701
1123,01,1,12,03105701
1123,01,1,13,03110701
1123,01,1,14,21080701
1123,01,1,15,45055701
1123,01,1,16,61055701
1123,01,1,17,15162701
1123,01,1,18,61075701
1123,01,1,19,32015701
1123,01,1,20,11153501
1123,01,1,21,32010700
1123,01,1,22,45005101
1123,01,1,23,71144701
1123,01,1,24,45010501
1123,01,1,25,51020701
1123,01,1,26,03065501
1123,01,1,27,03070501
1123,01,1,28,55070501
1123,01,1,29,31090501
1123,01,1,30,52025301
1123,01,1,31,41025101
1123,01,2,1,41025701
1123,01,2,2,52025701
1123,01,2,3,31090101
1123,01,2,4,55070101
1123,01,2,5,03070101
1123,01,2,6,03065101
1123,01,2,7,51020301
1123,01,2,8,45010301
1123,01,2,9,71144501
1123,01,2,10,45005301
1123,01,2,11,32010104
1123,01,2,12,11153101
1123,01,2,13,32015301
1123,01,2,14,61075301
1123,01,2,15,15162301
1123,01,2,16,61055301
1123,01,2,17,45055301
1123,01,2,18,21080301
1123,01,2,19,03110301
1123,01,2,20,03105301
1123,01,2,21,85010301
1123,01,2,22,11015301
1123,01,2,23,02215301
1123,01,2,24,42015301
1123,01,2,25,05050301
1123,01,2,26,11175301
1123,01,2,27,11175102
1123,01,2,28,711451W1
1123,01,2,29,711451E1
1123,01,2,30,224601E2
1123,01,2,31,210101E1
1123,01,2,32,21010021
1124,00,1,1,21010012
1124,00,1,2,210107S4
1124,00,1,3,52309702
1124,00,1,4,52315701
1124,00,1,5,52310702
1124,00,1,6,41245701
1124,00,1,7,71135701
1124,00,1,8,711377S1
1124,00,1,9,21070701
1124,00,1,10,05000701
1124,00,1,11,61010501
1124,00,1,12,15170701
1124,00,1,13,15080701
1124,00,1,14,24040701
1124,00,1,15,24045701
1124,00,1,16,35180701
1124,00,1,17,63015701
1124,00,1,18,55030701
1124,00,1,19,11210701
1124,00,1,20,01190701
1124,00,1,21,02140901
1124,00,2,1,02140301
1124,00,2,2,01190302
1124,00,2,3,11210302
1124,00,2,4,55030301
1124,00,2,5,63015301
1124,00,2,6,35180301
1124,00,2,7,24045301
1124,00,2,8,24040301
1124,00,2,9,15080301
1124,00,2,10,15170301
1124,00,2,11,61010101
1124,00,2,12,05000101
1124,00,2,13,21070302
1124,00,2,14,71137301
1124,00,2,15,71135302
1124,00,2,16,41245301
1124,00,2,17,52310301
1124,00,2,18,52315301
1124,00,2,19,52309303
1124,00,2,20,210103S2
1125,00,1,1,21010017
1125,00,1,2,210101E2
1125,00,1,3,210401W1
1125,00,1,4,05110101
1125,00,1,5,22300102
1125,00,1,6,64015101
1125,00,1,7,64010101
1125,00,1,8,22415701
1125,00,1,9,54050701
1125,00,1,10,54055701
1125,00,1,11,22365701
1125,00,1,12,22365703
1125,00,1,13,22365704
1125,00,1,14,34020701
1125,00,1,15,15130701
1125,00,1,16,64022701
1125,00,1,17,15030101
1125,00,1,18,15025101
1125,00,1,19,55080101
1125,00,1,20,111703N1
1125,00,1,21,41235301
1125,00,2,1,41235701
1125,00,2,2,11170501
1125,00,2,3,55080501
1125,00,2,4,15025501
1125,00,2,5,15030501
1125,00,2,6,64022301
1125,00,2,7,15130301
1125,00,2,8,34020301
1125,00,2,9,22365302
1125,00,2,10,22365304
